"comuna_id","gasto_estimado_total","nombre_comuna"
"13114",9222032.71924318,NA
"13101",6891100.9850831,NA
"13123",6459677.2142004,NA
"13120",6443766.39293173,NA
"13119",6321499.74967928,NA
"13201",6117466.3852022,NA
"13110",5357531.97065335,NA
"13132",4146587.18840849,NA
"13401",2957916.7076418,NA
"13122",2713411.90800181,NA
"13124",2605642.07809604,NA
"13113",2374841.33985763,NA
"13115",2300682.60701024,NA
"13106",2057209.21989023,NA
"13130",2030666.77441204,NA
"13125",1859645.54919996,NA
"13118",1765652.68178893,NA
"13127",1618715.67033883,NA
"13129",1471020.26950652,NA
"13108",1462891.74544108,NA
"13126",1309465.4060557,NA
"13105",1275818.44448319,NA
"13109",1210463.21896246,NA
"13402",1209519.19309607,NA
"13605",1141803.95038132,NA
"13107",1141760.27948219,NA
"13501",1040304.07350711,NA
"13104",986037.045841454,NA
"13301",978048.526741632,NA
"13112",957925.032205015,NA
"13121",835715.226429949,NA
"13128",804691.468332402,NA
"13117",788283.773928174,NA
"13302",784703.38048608,NA
"13111",780732.51539245,NA
"13404",774524.908011304,NA
"13601",766401.960264738,NA
"13202",721973.281132377,NA
"13102",699982.869530313,NA
"13604",698644.031498545,NA
"13103",671926.600307255,NA
"13116",645624.649868517,NA
"13131",605488.160653238,NA
"13203",586134.281142971,NA
"13403",468572.837750423,NA
"13503",369796.025134441,NA
"13603",353911.944204371,NA
"13602",272605.090495534,NA
"13504",249419.16100174,NA
"13502",197715.700916667,NA
"13303",151353.337575401,NA
"13505",73886.834223756,NA
